Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.500s)
read locations done
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 160.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
101.00	0.03	0.10	0.15	0.00	0.29	0.00	0.00	0.00	0.00	0.13	0.09	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102.00	0.18	0.45	0.17	0.04	0.06	0.00	0.00	0.00	0.00	0.03	0.07	0.15	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103.00	0.09	0.05	0.05	0.06	0.03	0.00	0.00	0.00	0.00	0.05	0.10	0.09	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
104.00	0.09	0.06	0.06	0.08	0.11	0.00	0.00	0.00	0.00	0.03	0.09	0.08	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
105.00	0.09	0.04	0.07	0.08	0.03	0.02	0.02	0.02	0.02	0.15	0.03	0.03	0.02	0.00	0.02	0.09	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03
106.00	0.04	0.06	0.15	0.03	0.14	0.04	0.04	0.04	0.04	0.03	0.12	0.12	0.04	0.02	0.05	0.07	0.05	0.05	0.05	0.03	0.04	0.03	0.03	0.03	0.05	0.03
107.00	0.04	0.10	0.03	0.05	0.03	0.03	0.03	0.03	0.03	0.00	0.01	0.05	0.03	0.05	0.03	0.04	0.01	0.01	0.03	0.02	0.01	0.02	0.01	0.02	0.01	0.02
108.00	0.06	0.08	0.03	0.06	0.03	0.04	0.04	0.04	0.04	0.05	0.06	0.07	0.04	0.14	0.03	0.05	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.03	0.04	0.03
109.00	0.09	0.09	0.03	0.08	0.03	0.04	0.04	0.05	0.04	0.03	0.03	0.10	0.04	0.06	0.03	0.06	0.03	0.02	0.03	0.00	0.03	0.03	0.03	0.02	0.03	0.02
110.00	0.07	0.06	0.04	0.08	0.04	0.05	0.05	0.06	0.05	0.05	0.04	0.06	0.05	0.10	0.03	0.05	0.03	0.05	0.03	0.05	0.03	0.03	0.05	0.05	0.02	0.05
